study_word,test,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,text_2.started,text_3.started,textbox.started,text_4.started,mouse.started,text_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,,,,0,0,0,14,,,,,0.05351569992490113,,0.011852499796077609,0.05351569992490113,0.05351569992490113,4.445289599942043,1.0,4.406967899994925,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
marble,,,,0,1,1,3,,,,,4.471846499945968,,4.448605299927294,4.471846499945968,4.471846499945968,6.261183299822733,1.0,1.788648399990052,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
cruise,,,,0,2,2,11,,,,,6.289189499802887,,6.26156899984926,6.289189499802887,6.289189499802887,7.346809799782932,1.0,1.062882199883461,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
board,,,,0,3,3,4,,,,,7.373165600001812,,7.34731059987098,7.373165600001812,7.373165600001812,9.346059900010005,1.0,1.9733066000044346,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
T-shirt,,,,0,4,4,7,,,,,9.373748399782926,,9.346459299791604,9.373748399782926,9.373748399782926,10.447578699793667,1.0,1.073484200052917,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
chart,,,,0,5,5,6,,,,,10.473938299808651,,10.44782799994573,10.473938299808651,10.473938299808651,11.680565199814737,1.0,1.2121552999597043,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
police,,,,0,6,6,12,,,,,11.70785539993085,,11.680967499967664,11.70785539993085,11.70785539993085,12.847767799859866,1.0,1.1447882000356913,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
phone,,,,0,7,7,2,,,,,12.875016799895093,,12.848027899861336,12.875016799895093,12.875016799895093,14.080729599809274,1.0,1.2086273001041263,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
pastry,,,,0,8,8,9,,,,,14.108854499878362,,14.080986599903554,14.108854499878362,14.108854499878362,15.415234099840745,1.0,1.3100743000395596,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
book,,,,0,9,9,0,,,,,15.442871099803597,,15.41551600000821,15.442871099803597,15.442871099803597,16.39892589999363,1.0,0.9626084000337869,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
cushion,,,,0,10,10,1,,,,,16.4263829998672,,16.399306299863383,16.4263829998672,16.4263829998672,17.77072269981727,1.0,1.3302313000895083,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
laptop,,,,0,11,11,5,,,,,17.793801999883726,,17.771294199861586,17.793801999883726,17.793801999883726,19.9998013000004,1.0,2.205450400011614,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
keys,,,,0,12,12,13,,,,,20.027947399998084,,20.000078299781308,20.027947399998084,20.027947399998084,21.220203999895602,1.0,1.1813145000487566,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
case,,,,0,13,13,10,,,,,21.244601499987766,,21.220516099827364,21.244601499987766,21.244601499987766,22.201392999850214,1.0,0.9574687001295388,,,,,,,,,,,,,,,ad,001,2024-10-28_23h29.37.881,word_priming_exp,2024.1.5,None,2024-10-28 23h30.37.615826 +0530,
